id,name,host_id,host_profile_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
2021797,Roomy well-lit Private room Heart of Zurich,10379615,1462573966512953564,Josh,Kreis 3,Alt-Wiedikon,47.36249,8.52253,Private room,,7,144,2025-11-19,0.94,2,178,3,
2045519,"Groundfloor Room i/Family Home Hottingen, Kreis 7",10487269,1462841927338891645,Christine,Kreis 7,Hottingen,47.36644,8.56301,Private room,0,6,96,2026-05-11,0.65,4,186,3,
2049847,"Balcony Room in FamilyHome Hottingen, Kreis 7",10487269,1462841927338891645,Christine,Kreis 7,Hottingen,47.36644,8.56301,Private room,0,14,107,2024-09-01,0.73,4,180,0,
2073042,Bedroom i/Family Home ZüriHottingen,10487269,1462841927338891645,Christine,Kreis 7,Hottingen,47.36672,8.56401,Private room,1,1,64,2025-09-10,0.42,4,133,1,
2082084,Basic Well-lit Private Room Heart of Zurich,10379615,1462573966512953564,Josh,Kreis 3,Alt-Wiedikon,47.36431,8.52174,Private room,,28,137,2025-11-29,0.91,2,116,2,
2470664,"Old-town, cozy spacious 2 rooms flat,",10651736,1462846235420507594,Alberto,Kreis 1,Rathaus,47.37452,8.54549,Entire home/apt,0,20,59,2026-03-28,0.40,2,333,4,
2579889,Mi Casa es su Casa,75558392,1487906327853189561,Filipa,Kreis 3,Alt-Wiedikon,47.36347,8.51845,Entire home/apt,0,1,704,2026-05-27,4.74,3,77,29,
2668952,Studio mit absoluter Traumaussicht (51),13570663,1462586915939629182,Residence Services Apartments,Kreis 1,Lindenhof,47.37554,8.54207,Entire home/apt,0,1,563,2026-06-16,3.89,55,262,61,
2679799,Discover Zürich & relax comfortably,8061776,1462748163379360629,Salvia,Kreis 2,Wollishofen,47.3367,8.53347,Private room,0,2,193,2026-05-29,1.30,3,8,13,
2759581,Old-town 2 room flat with river view,10651736,1462846235420507594,Alberto,Kreis 1,Rathaus,47.37569,8.54465,Entire home/apt,0,20,66,2026-04-16,0.45,2,326,8,
